review_rank,priority_score,dataset_name,validation_status,issue_id,paper_title,assistant_label,assistant_confidence,evidence_source,support_count,support_models,model_snapshot,risk_flags,review_action,evidence_span,review_excerpt,aligned_response_excerpt,revision_summary
1,77,NeurIPS 2024 limit100 active frontier,provisional_assistant_adjudication_not_human_validation,BRZYhVHvSg__r02,Multi-Group Proportional Representation in Retrieval,regressed,low,revision_summary,1,mpnet,issue_ledger=partially_fixed; modernbert=fixed; mpnet=regressed; structured=fixed; tfidf=partially_fixed,regressed_label;weak_model_support;low_confidence;high_model_disagreement,"Verify the alleged regression is caused by the response/revision, not just an unresolved original concern.","# Response to Reviewer XQou We are grateful for your review and positive feedback. We will address each of the weaknesses and questions raised (in a combined way) in detail below. We will be happy to answer any further question. ## Q1. ""Can you provide more details on the computational requirements of the proposed algorithm? Specifically, how does its performance scale with increasing dimensionality and size of the...","[weaknesses] Computational Complexity: Algorithm Efficiency: One potential weakness of the paper is the computational complexity of the proposed algorithm. As noted by the authors, the algorithm can be computationally intensive in...",# Response to Reviewer XQou We are grateful for your review and positive feedback. We will address each of the weaknesses and questions raised (in a combined way) in detail below. We will be happy to answer any further question. ## Q1....,# Response to Reviewer XQou We are grateful for your review and positive feedback. We will address each of the weaknesses and questions raised (in a combined way) in detail below. We will be happy to answer any further question. ## Q1....
2,77,NeurIPS 2024 limit100 active frontier,provisional_assistant_adjudication_not_human_validation,BRZYhVHvSg__r03,Multi-Group Proportional Representation in Retrieval,regressed,low,revision_summary,1,mpnet,issue_ledger=partially_fixed; modernbert=fixed; mpnet=regressed; structured=fixed; tfidf=partially_fixed,regressed_label;weak_model_support;low_confidence;high_model_disagreement,"Verify the alleged regression is caused by the response/revision, not just an unresolved original concern.","# Response to Reviewer XQou We are grateful for your review and positive feedback. We will address each of the weaknesses and questions raised (in a combined way) in detail below. We will be happy to answer any further question. ## Q1. ""Can you provide more details on the computational requirements of the proposed algorithm? Specifically, how does its performance scale with increasing dimensionality and size of the...","[weaknesses] A) This method is still extremely inefficient. Aside from making it difficult to use in practice, the results are only on 10 queries--this is very few and not great in terms of statistical significance B) Despite acknowledging...","# Response to Reviewer 4ELS We thank the reviewer for their careful review and valuable feedback and for raising the issue of the computational efficiency of our method. We have addressed this issue in our response below, in the general...",# Response to Reviewer XQou We are grateful for your review and positive feedback. We will address each of the weaknesses and questions raised (in a combined way) in detail below. We will be happy to answer any further question. ## Q1....
3,77,NeurIPS 2024 limit100 active frontier,provisional_assistant_adjudication_not_human_validation,DAO2BFzMfy__r04,Interpreting the Weight Space of Customized Diffusion Models,regressed,low,revision_summary,1,mpnet,issue_ledger=partially_fixed; modernbert=fixed; mpnet=regressed; structured=fixed; tfidf=partially_fixed,regressed_label;weak_model_support;low_confidence;high_model_disagreement,"Verify the alleged regression is caused by the response/revision, not just an unresolved original concern.","**“The overall idea of this paper is more similar to [1]...I suggest the authors could discuss more about the differences between this paper and [1].”** Although these two papers share the use of PCA and the application to personalization, there are fundamental differences. Many works have found subspaces in the *input space*, such as text embeddings [1], to produce meaningful linear interpolations. But as you point...","[weaknesses] - The paper lacks a comprehensive comparison with prior literature, resulting in inaccurate claims on “Alas, in multi-step generative models, like diffusion models, such a linear latent space is yet to be found”. In [a], it...","**“...editing and inverting have been widely studied in the field (see Weaknesses)”** and **“These methods have covered the scenarios including latent sampling, editing, and inverting and thus should be discussed”** and **“The...","**“The overall idea of this paper is more similar to [1]...I suggest the authors could discuss more about the differences between this paper and [1].”** Although these two papers share the use of PCA and the application to personalization,..."
4,52,NeurIPS 2024 limit100 active frontier,provisional_assistant_adjudication_not_human_validation,3BNPUDvqMt__r01,Better by default: Strong pre-tuned MLPs and boosted trees on tabular data,unresolved,low,aligned_response_excerpt,1,issue_ledger,issue_ledger=unresolved; modernbert=fixed; mpnet=partially_fixed; structured=partially_fixed; tfidf=partially_fixed,weak_model_support;low_confidence;high_model_disagreement,Check whether aligned response or revision summary contains a concrete fix that should change the label.,"We thank the reviewer for the constructive feedback. Weaknesses: 1. While we agree that such experiments would be interesting, they would be very costly and are not central to the research question we want to answer in the paper (how good can we make MLPs and GBDTs with default parameters?). We would argue that the existing results should already be interesting to readers and that our paper's ability to pose many...",[weaknesses] 1. One of the main contributions of the paper is the different DL techniques from Figure 1 that have been added to MLP. Although there are enough useful experiments and ablations on these techniques for RealMLP (Figure 1 and...,"We thank the reviewer for the constructive feedback. Weaknesses: 1. While we agree that such experiments would be interesting, they would be very costly and are not central to the research question we want to answer in the paper (how good...","We thank the reviewer for the constructive feedback. Major weaknesses: 1. - We meant to write “is competitive with GBDTs in terms of benchmark scores”, we will update this sentence. Of course, GBDTs are faster on most datasets with our..."
5,52,NeurIPS 2024 limit100 active frontier,provisional_assistant_adjudication_not_human_validation,3BNPUDvqMt__r02,Better by default: Strong pre-tuned MLPs and boosted trees on tabular data,unresolved,low,aligned_response_excerpt,1,issue_ledger,issue_ledger=unresolved; modernbert=fixed; mpnet=partially_fixed; structured=partially_fixed; tfidf=partially_fixed,weak_model_support;low_confidence;high_model_disagreement,Check whether aligned response or revision summary contains a concrete fix that should change the label.,"We thank the reviewer for the constructive feedback. Weaknesses: 1. **[1] was uploaded on 13th of July 2024**, so this paper cannot be used to question our novelty. (Besides, it also uses a mix of architectures, while we consider algorithm selection / ensembling.) Regarding ensembles, we do not claim to rediscover ensembles. Rather, we try to see how meta-learning better defaults affects the trade-off between...","[weaknesses] 1. The finding presented in this work is not entirely novel. Similar conclusions have been reached by Tree-hybrid MLPs `[1]`, although the methods are not quite the same. Moreover, ensemble different methods, including...","We thank the reviewer for the constructive feedback. Weaknesses: 1. **[1] was uploaded on 13th of July 2024**, so this paper cannot be used to question our novelty. (Besides, it also uses a mix of architectures, while we consider algorithm...","We thank the reviewer for the constructive feedback. Major weaknesses: 1. - We meant to write “is competitive with GBDTs in terms of benchmark scores”, we will update this sentence. Of course, GBDTs are faster on most datasets with our..."
6,52,NeurIPS 2024 limit100 active frontier,provisional_assistant_adjudication_not_human_validation,3ZAfFoAcUI__r01,On the Inductive Bias of Stacking Towards Improving Reasoning,unresolved,low,aligned_response_excerpt,1,modernbert,issue_ledger=fixed; modernbert=unresolved; mpnet=fixed; structured=fixed; tfidf=partially_fixed,weak_model_support;low_confidence;high_model_disagreement,Check whether aligned response or revision summary contains a concrete fix that should change the label.,"Thank you for the positive feedback and insightful questions. **Q1**: *the improvement of MIDAS on downstream tasks (open book QA and math word problems) is marginal compared to the improvements on these tasks [reasoning primitives].* A: While the improvement on these benchmarks is lower compared to improvement on primitives, the absolute magnitude of improvement is still quite high. For instance, for the 1B model,...","[weaknesses] - In section 5, the paper conjectures that induction copying, variable assignment, and pre-school math tasks are some of the core capabilities of contextual reasoning that can help characterize the inductive bias of the...",Thank you for the positive feedback and insightful questions. **Q1**: *the improvement of MIDAS on downstream tasks (open book QA and math word problems) is marginal compared to the improvements on these tasks [reasoning primitives].* A:...,"Thank you for the feedback and many suggestions. We tried to address them below by running new experiments. **Q1**: *The benchmarked models of size 1B and 2B are small compared to commonly used models like 7B, 13B etc. It’s hard to..."
7,52,NeurIPS 2024 limit100 active frontier,provisional_assistant_adjudication_not_human_validation,3ZAfFoAcUI__r02,On the Inductive Bias of Stacking Towards Improving Reasoning,unresolved,low,aligned_response_excerpt,1,modernbert,issue_ledger=partially_fixed; modernbert=unresolved; mpnet=fixed; structured=fixed; tfidf=partially_fixed,weak_model_support;low_confidence;high_model_disagreement,Check whether aligned response or revision summary contains a concrete fix that should change the label.,"Thank you for the positive feedback and suggestions. **Q1**: *I think at least one more reasoning benchmark is needed in each category in order to justify that the improvement difference is indeed due to memorization instead of some dataset artifacts.* A: Based on the reviewer’s suggestion, we evaluated MIDAS and baseline models on another category of tasks called “story completion”, which includes tasks like...","[weaknesses] The authors showed empirical evidence that the proposed algorithm improves reasoning, but reduces memorization. However, the experiments are done on four distinct categories of reasoning benchmarks. I think at least one more...",Thank you for the positive feedback and suggestions. **Q1**: *I think at least one more reasoning benchmark is needed in each category in order to justify that the improvement difference is indeed due to memorization instead of some...,"Thank you for the feedback and many suggestions. We tried to address them below by running new experiments. **Q1**: *The benchmarked models of size 1B and 2B are small compared to commonly used models like 7B, 13B etc. It’s hard to..."
8,52,NeurIPS 2024 limit100 active frontier,provisional_assistant_adjudication_not_human_validation,3ZAfFoAcUI__r03,On the Inductive Bias of Stacking Towards Improving Reasoning,unresolved,low,aligned_response_excerpt,1,modernbert,issue_ledger=fixed; modernbert=unresolved; mpnet=fixed; structured=fixed; tfidf=partially_fixed,weak_model_support;low_confidence;high_model_disagreement,Check whether aligned response or revision summary contains a concrete fix that should change the label.,"Thank you for the feedback and suggestions. We tried to address them below by running new experiments. **Q1**: *Can the authors evaluate on more reasoning and common-sense questions for better comparison, such as tasks tested in the Llama paper?* A: Based on the reviewer’s suggestion, we run evaluations on common sense reasoning benchmarks PiQA, HellaSwag, Winogrande, ARC-E, ARC-C from the Llama paper. | Model |...","[weaknesses] Can the authors evaluate on more reasoning and common-sense questions for better comparison, such as tasks tested in the Llama paper? Minor: In line 105, “For simplicity, we L is divisible by k” should be “For simplicity, L is...","Thank you for the feedback and suggestions. We tried to address them below by running new experiments. **Q1**: *Can the authors evaluate on more reasoning and common-sense questions for better comparison, such as tasks tested in the Llama...","Thank you for the feedback and many suggestions. We tried to address them below by running new experiments. **Q1**: *The benchmarked models of size 1B and 2B are small compared to commonly used models like 7B, 13B etc. It’s hard to..."
9,52,NeurIPS 2024 limit100 active frontier,provisional_assistant_adjudication_not_human_validation,9uolDxbYLm__r01,Model Reconstruction Using Counterfactual Explanations: A Perspective From Polytope Theory,unresolved,low,aligned_response_excerpt,1,issue_ledger,issue_ledger=unresolved; modernbert=fixed; mpnet=fixed; structured=fixed; tfidf=partially_fixed,weak_model_support;low_confidence;high_model_disagreement,Check whether aligned response or revision summary contains a concrete fix that should change the label.,"We thank the reviewer for taking out the time to review this paper, and appreciate their acknowledgement of the novelty of our work. **_On significance and limitations of theoretical results:_** Deriving theoretical bounds for model reconstruction using counterfactuals under general non-convex decision boundaries is a challenging problem. Our work proposes a novel non-trivial approach towards solving this problem...","[weaknesses] *Missing variety of recourse methods*: The paper would greatly benefit from a more comprehensive set of experiments that examine the viability of model reconstruction under various recourse settings. Specifically,...","We thank the reviewer for taking out the time to review this paper, and appreciate their acknowledgement of the novelty of our work. **_On significance and limitations of theoretical results:_** Deriving theoretical bounds for model...","We are grateful for the detailed review and the important suggestions. **_Dependency on counterfactual generating method:_** The performance of the proposed method does not depend on the specific counterfactual generating method, except..."
10,52,NeurIPS 2024 limit100 active frontier,provisional_assistant_adjudication_not_human_validation,9uolDxbYLm__r03,Model Reconstruction Using Counterfactual Explanations: A Perspective From Polytope Theory,unresolved,low,aligned_response_excerpt,1,issue_ledger,issue_ledger=unresolved; modernbert=fixed; mpnet=fixed; structured=fixed; tfidf=partially_fixed,weak_model_support;low_confidence;high_model_disagreement,Check whether aligned response or revision summary contains a concrete fix that should change the label.,"We thank the reviewer for taking out the time to review this paper, and appreciate their acknowledgement of the novelty of our work. **_On significance and limitations of theoretical results:_** Deriving theoretical bounds for model reconstruction using counterfactuals under general non-convex decision boundaries is a challenging problem. Our work proposes a novel non-trivial approach towards solving this problem...","[weaknesses] The key limitation of this paper is that all the theories hold if the counterfactuals are the closest ones to the observations, which is difficult to be guaranteed utilizing counterfactual explanations algorithms. One way to...","We thank the reviewer for taking out the time to review this paper, and appreciate their acknowledgement of the novelty of our work. **_On significance and limitations of theoretical results:_** Deriving theoretical bounds for model...","We are grateful for the detailed review and the important suggestions. **_Dependency on counterfactual generating method:_** The performance of the proposed method does not depend on the specific counterfactual generating method, except..."
