failure_mode,dataset_name,validation_status,model_key,support_count,issue_id,paper_title,gold_label,predicted_label,model_risk,review_concern,revision_evidence,why_it_matters,label_consistency_note
over_crediting_unresolved,NeurIPS 2024 limit100 active frontier,provisional_assistant_adjudication_not_human_validation,tfidf,76,3ZAfFoAcUI__r02,On the Inductive Bias of Stacking Towards Improving Reasoning,unresolved,partially_fixed,over-credits an unresolved concern as resolved,"[weaknesses] The authors showed empirical evidence that the proposed algorithm improves reasoning, but reduces memorization. However, the experiments are done on four distinct categories of reasoning benchmarks. I think at least one more reasoning benchmark...",Thank you for the positive feedback and suggestions. **Q1**: *I think at least one more reasoning benchmark is needed in each category in order to justify that the improvement difference is indeed due to memorization instead of some dataset artifacts.* A:...,A revision assistant would stop tracking an issue that still needs attention.,label_sheet=unresolved
over_crediting_unresolved,NeurIPS 2024 limit100 active frontier,provisional_assistant_adjudication_not_human_validation,structured,44,3BNPUDvqMt__r01,Better by default: Strong pre-tuned MLPs and boosted trees on tabular data,unresolved,partially_fixed,over-credits an unresolved concern as resolved,"[weaknesses] 1. One of the main contributions of the paper is the different DL techniques from Figure 1 that have been added to MLP. Although there are enough useful experiments and ablations on these techniques for RealMLP (Figure 1 and Appendix B), these...","We thank the reviewer for the constructive feedback. Weaknesses: 1. While we agree that such experiments would be interesting, they would be very costly and are not central to the research question we want to answer in the paper (how good can we make MLPs and...",A revision assistant would stop tracking an issue that still needs attention.,label_sheet=unresolved
over_crediting_unresolved,NeurIPS 2024 limit100 active frontier,provisional_assistant_adjudication_not_human_validation,modernbert,36,owuEcT6BTl__r01,Emergence of Hidden Capabilities: Exploring Learning Dynamics in Concept Space,unresolved,fixed,over-credits an unresolved concern as resolved,[weaknesses] Significance: - Overall the setup is too simplistic to have the claims be transferable to a broader set of generative models or even diffusion models. All the experiments use a simplified synthetic dataset with 2D objects and binary concept...,"Dear reviewer cQgr, We thank the reviewer for their detailed feedback. We are excited that you found our work provides a novel lens for analyzing learning dynamics of diffusion models, yielding claims that are interesting, clear, and well-backed. In response,...",A revision assistant would stop tracking an issue that still needs attention.,label_sheet=unresolved
over_crediting_unresolved,NeurIPS 2024 limit100 active frontier,provisional_assistant_adjudication_not_human_validation,mpnet,30,3ZAfFoAcUI__r02,On the Inductive Bias of Stacking Towards Improving Reasoning,unresolved,fixed,over-credits an unresolved concern as resolved,"[weaknesses] The authors showed empirical evidence that the proposed algorithm improves reasoning, but reduces memorization. However, the experiments are done on four distinct categories of reasoning benchmarks. I think at least one more reasoning benchmark...",Thank you for the positive feedback and suggestions. **Q1**: *I think at least one more reasoning benchmark is needed in each category in order to justify that the improvement difference is indeed due to memorization instead of some dataset artifacts.* A:...,A revision assistant would stop tracking an issue that still needs attention.,label_sheet=unresolved
over_crediting_unresolved,NeurIPS 2024 limit100 active frontier,provisional_assistant_adjudication_not_human_validation,structured,27,3ZAfFoAcUI__r02,On the Inductive Bias of Stacking Towards Improving Reasoning,unresolved,fixed,over-credits an unresolved concern as resolved,"[weaknesses] The authors showed empirical evidence that the proposed algorithm improves reasoning, but reduces memorization. However, the experiments are done on four distinct categories of reasoning benchmarks. I think at least one more reasoning benchmark...",Thank you for the positive feedback and suggestions. **Q1**: *I think at least one more reasoning benchmark is needed in each category in order to justify that the improvement difference is indeed due to memorization instead of some dataset artifacts.* A:...,A revision assistant would stop tracking an issue that still needs attention.,label_sheet=unresolved
over_crediting_unresolved,NeurIPS 2024 limit100 active frontier,provisional_assistant_adjudication_not_human_validation,modernbert,26,LxxIiInmuF__r02,Paths to Equilibrium in Games,unresolved,partially_fixed,over-credits an unresolved concern as resolved,"[weaknesses] I have one main complaint, and this is related to my disagreement with the following sentence at the beginning of section 3.2: ``Theorem 1 shows that play will be driven along satisficing paths to an equilibrium"".'' I disagree, because to have...","Thank you for your kind words and for your questions. Efficiency and practical performance are important considerations for work on MARL. Our theoretical study here is somewhat orthogonal to efficiency, and we do not take a position on the exploratory...",A revision assistant would stop tracking an issue that still needs attention.,label_sheet=unresolved
over_crediting_unresolved,NeurIPS 2024 limit100 active frontier,provisional_assistant_adjudication_not_human_validation,mpnet,18,3BNPUDvqMt__r01,Better by default: Strong pre-tuned MLPs and boosted trees on tabular data,unresolved,partially_fixed,over-credits an unresolved concern as resolved,"[weaknesses] 1. One of the main contributions of the paper is the different DL techniques from Figure 1 that have been added to MLP. Although there are enough useful experiments and ablations on these techniques for RealMLP (Figure 1 and Appendix B), these...","We thank the reviewer for the constructive feedback. Weaknesses: 1. While we agree that such experiments would be interesting, they would be very costly and are not central to the research question we want to answer in the paper (how good can we make MLPs and...",A revision assistant would stop tracking an issue that still needs attention.,label_sheet=unresolved
over_crediting_unresolved,NeurIPS 2024 limit100 active frontier,provisional_assistant_adjudication_not_human_validation,issue_ledger,5,3ZAfFoAcUI__r01,On the Inductive Bias of Stacking Towards Improving Reasoning,unresolved,fixed,over-credits an unresolved concern as resolved,"[weaknesses] - In section 5, the paper conjectures that induction copying, variable assignment, and pre-school math tasks are some of the core capabilities of contextual reasoning that can help characterize the inductive bias of the proposed approach. The...",Thank you for the positive feedback and insightful questions. **Q1**: *the improvement of MIDAS on downstream tasks (open book QA and math word problems) is marginal compared to the improvements on these tasks [reasoning primitives].* A: While the improvement...,A revision assistant would stop tracking an issue that still needs attention.,label_sheet=unresolved
regression_blindness,NeurIPS 2024 limit100 active frontier,provisional_assistant_adjudication_not_human_validation,modernbert,4,BRZYhVHvSg__r02,Multi-Group Proportional Representation in Retrieval,regressed,fixed,misses a regression or newly worsened concern,"[weaknesses] Computational Complexity: Algorithm Efficiency: One potential weakness of the paper is the computational complexity of the proposed algorithm. As noted by the authors, the algorithm can be computationally intensive in high-dimensional feature...","# Response to Reviewer XQou We are grateful for your review and positive feedback. We will address each of the weaknesses and questions raised (in a combined way) in detail below. We will be happy to answer any further question. ## Q1. ""Can you provide more...",Regression cases are rare but high-risk in revision workflows.,label_sheet=regressed
regression_blindness,NeurIPS 2024 limit100 active frontier,provisional_assistant_adjudication_not_human_validation,structured,4,BRZYhVHvSg__r02,Multi-Group Proportional Representation in Retrieval,regressed,fixed,misses a regression or newly worsened concern,"[weaknesses] Computational Complexity: Algorithm Efficiency: One potential weakness of the paper is the computational complexity of the proposed algorithm. As noted by the authors, the algorithm can be computationally intensive in high-dimensional feature...","# Response to Reviewer XQou We are grateful for your review and positive feedback. We will address each of the weaknesses and questions raised (in a combined way) in detail below. We will be happy to answer any further question. ## Q1. ""Can you provide more...",Regression cases are rare but high-risk in revision workflows.,label_sheet=regressed
regression_blindness,NeurIPS 2024 limit100 active frontier,provisional_assistant_adjudication_not_human_validation,tfidf,4,BRZYhVHvSg__r02,Multi-Group Proportional Representation in Retrieval,regressed,partially_fixed,misses a regression or newly worsened concern,"[weaknesses] Computational Complexity: Algorithm Efficiency: One potential weakness of the paper is the computational complexity of the proposed algorithm. As noted by the authors, the algorithm can be computationally intensive in high-dimensional feature...","# Response to Reviewer XQou We are grateful for your review and positive feedback. We will address each of the weaknesses and questions raised (in a combined way) in detail below. We will be happy to answer any further question. ## Q1. ""Can you provide more...",Regression cases are rare but high-risk in revision workflows.,label_sheet=regressed
regression_blindness,NeurIPS 2024 limit100 active frontier,provisional_assistant_adjudication_not_human_validation,issue_ledger,3,BRZYhVHvSg__r02,Multi-Group Proportional Representation in Retrieval,regressed,partially_fixed,misses a regression or newly worsened concern,"[weaknesses] Computational Complexity: Algorithm Efficiency: One potential weakness of the paper is the computational complexity of the proposed algorithm. As noted by the authors, the algorithm can be computationally intensive in high-dimensional feature...","# Response to Reviewer XQou We are grateful for your review and positive feedback. We will address each of the weaknesses and questions raised (in a combined way) in detail below. We will be happy to answer any further question. ## Q1. ""Can you provide more...",Regression cases are rare but high-risk in revision workflows.,label_sheet=regressed
