failure_mode,dataset_name,validation_status,model_key,support_count,issue_id,paper_title,gold_label,predicted_label,model_risk,review_concern,revision_evidence,why_it_matters,label_consistency_note
over_crediting_unresolved,NeurIPS 2024 limit100,standard_single_user_confirmed,tfidf,36,YO6GVPUrKN__r03,On the Limitations of Fractal Dimension as a Measure of Generalization,unresolved,partially_fixed,over-credits an unresolved concern as resolved,"[weaknesses] - In section 4.1, the experiments from [1] are carefully replicated. However, the observations do not match the ones from [1]. For example, for FCN-5 on CHD, a *negative* correlation score of $\rho = -0.7622$ is reported, whereas [1] reports a...",We thank this reviewer for the careful review provided. We are very happy to see that they also appreciated the importance of evaluating existing work to “build upon solid foundations”. We would like to begin by addressing the weaknesses they identify. 1....,A revision assistant would stop tracking an issue that still needs attention.,label_sheet=unresolved
partial_under_crediting,NeurIPS 2024 limit100,standard_single_user_confirmed,issue_ledger,34,3BNPUDvqMt__r01,Better by default: Strong pre-tuned MLPs and boosted trees on tabular data,partially_fixed,unresolved,ignores real but incomplete revision evidence,"[weaknesses] 1. One of the main contributions of the paper is the different DL techniques from Figure 1 that have been added to MLP. Although there are enough useful experiments and ablations on these techniques for RealMLP (Figure 1 and Appendix B), these...","We thank the reviewer for the constructive feedback. Weaknesses: 1. While we agree that such experiments would be interesting, they would be very costly and are not central to the research question we want to answer in the paper (how good can we make MLPs and...",The model misses incremental progress that should not be collapsed into unresolved.,label_sheet=partially_fixed
partial_vs_fixed_boundary,NeurIPS 2024 limit100,standard_single_user_confirmed,modernbert,30,BRZYhVHvSg__r02,Multi-Group Proportional Representation in Retrieval,partially_fixed,fixed,upgrades partial evidence into a full fix,"[weaknesses] Computational Complexity: Algorithm Efficiency: One potential weakness of the paper is the computational complexity of the proposed algorithm. As noted by the authors, the algorithm can be computationally intensive in high-dimensional feature...","# Response to Reviewer XQou We are grateful for your review and positive feedback. We will address each of the weaknesses and questions raised (in a combined way) in detail below. We will be happy to answer any further question. ## Q1. ""Can you provide more...",This is the central rubric-boundary risk for evidence-based labels.,label_sheet=partially_fixed
partial_vs_fixed_boundary,NeurIPS 2024 limit100,standard_single_user_confirmed,mpnet,24,3ZAfFoAcUI__r02,On the Inductive Bias of Stacking Towards Improving Reasoning,partially_fixed,fixed,upgrades partial evidence into a full fix,"[weaknesses] The authors showed empirical evidence that the proposed algorithm improves reasoning, but reduces memorization. However, the experiments are done on four distinct categories of reasoning benchmarks. I think at least one more reasoning benchmark...",Thank you for the positive feedback and suggestions. **Q1**: *I think at least one more reasoning benchmark is needed in each category in order to justify that the improvement difference is indeed due to memorization instead of some dataset artifacts.* A:...,This is the central rubric-boundary risk for evidence-based labels.,label_sheet=partially_fixed
over_crediting_unresolved,NeurIPS 2024 limit100,standard_single_user_confirmed,structured,20,B3rZZRALhk__r02,On improved Conditioning Mechanisms and Pre-training Strategies for Diffusion Models,unresolved,partially_fixed,over-credits an unresolved concern as resolved,"[weaknesses] 1. Unorganized Experiment Result Presentation - One of the key results of this study is Imagenet-1K FID 1.59, CC12M FID 6.79, and 8.64. - However, it is difficult to understand how each element claimed by this study contributes to these results....","We appreciate the thorough feedback. In the following we address it: - **Design choices** - **Noisy replicate padding has minor impact.** In addition to slightly improving the FID and CLIPScore (0.54 and 0.58, respectively), the added noisy replicate can...",A revision assistant would stop tracking an issue that still needs attention.,label_sheet=unresolved
partial_vs_fixed_boundary,NeurIPS 2024 limit100,standard_single_user_confirmed,structured,20,BRZYhVHvSg__r02,Multi-Group Proportional Representation in Retrieval,partially_fixed,fixed,upgrades partial evidence into a full fix,"[weaknesses] Computational Complexity: Algorithm Efficiency: One potential weakness of the paper is the computational complexity of the proposed algorithm. As noted by the authors, the algorithm can be computationally intensive in high-dimensional feature...","# Response to Reviewer XQou We are grateful for your review and positive feedback. We will address each of the weaknesses and questions raised (in a combined way) in detail below. We will be happy to answer any further question. ## Q1. ""Can you provide more...",This is the central rubric-boundary risk for evidence-based labels.,label_sheet=partially_fixed
over_crediting_unresolved,NeurIPS 2024 limit100,standard_single_user_confirmed,modernbert,18,B3rZZRALhk__r02,On improved Conditioning Mechanisms and Pre-training Strategies for Diffusion Models,unresolved,partially_fixed,over-credits an unresolved concern as resolved,"[weaknesses] 1. Unorganized Experiment Result Presentation - One of the key results of this study is Imagenet-1K FID 1.59, CC12M FID 6.79, and 8.64. - However, it is difficult to understand how each element claimed by this study contributes to these results....","We appreciate the thorough feedback. In the following we address it: - **Design choices** - **Noisy replicate padding has minor impact.** In addition to slightly improving the FID and CLIPScore (0.54 and 0.58, respectively), the added noisy replicate can...",A revision assistant would stop tracking an issue that still needs attention.,label_sheet=unresolved
over_crediting_unresolved,NeurIPS 2024 limit100,standard_single_user_confirmed,structured,11,YO6GVPUrKN__r03,On the Limitations of Fractal Dimension as a Measure of Generalization,unresolved,fixed,over-credits an unresolved concern as resolved,"[weaknesses] - In section 4.1, the experiments from [1] are carefully replicated. However, the observations do not match the ones from [1]. For example, for FCN-5 on CHD, a *negative* correlation score of $\rho = -0.7622$ is reported, whereas [1] reports a...",We thank this reviewer for the careful review provided. We are very happy to see that they also appreciated the importance of evaluating existing work to “build upon solid foundations”. We would like to begin by addressing the weaknesses they identify. 1....,A revision assistant would stop tracking an issue that still needs attention.,label_sheet=unresolved
over_crediting_unresolved,NeurIPS 2024 limit100,standard_single_user_confirmed,modernbert,10,owuEcT6BTl__r01,Emergence of Hidden Capabilities: Exploring Learning Dynamics in Concept Space,unresolved,fixed,over-credits an unresolved concern as resolved,[weaknesses] Significance: - Overall the setup is too simplistic to have the claims be transferable to a broader set of generative models or even diffusion models. All the experiments use a simplified synthetic dataset with 2D objects and binary concept...,"Dear reviewer cQgr, We thank the reviewer for their detailed feedback. We are excited that you found our work provides a novel lens for analyzing learning dynamics of diffusion models, yielding claims that are interesting, clear, and well-backed. In response,...",A revision assistant would stop tracking an issue that still needs attention.,label_sheet=unresolved
over_crediting_unresolved,NeurIPS 2024 limit100,standard_single_user_confirmed,mpnet,6,YO6GVPUrKN__r03,On the Limitations of Fractal Dimension as a Measure of Generalization,unresolved,fixed,over-credits an unresolved concern as resolved,"[weaknesses] - In section 4.1, the experiments from [1] are carefully replicated. However, the observations do not match the ones from [1]. For example, for FCN-5 on CHD, a *negative* correlation score of $\rho = -0.7622$ is reported, whereas [1] reports a...",We thank this reviewer for the careful review provided. We are very happy to see that they also appreciated the importance of evaluating existing work to “build upon solid foundations”. We would like to begin by addressing the weaknesses they identify. 1....,A revision assistant would stop tracking an issue that still needs attention.,label_sheet=unresolved
