issue_id	source_packet	assistant_label	first_pass_label	first_pass_confidence	first_pass_evidence_span	first_pass_notes	selection_score	selection_reason	audit_bucket	audit_score	priority_score	original_assistant_label	suggested_label	silver_label	heuristic_label	tfidf_label	modernbert_label	mpnet_label	issue_ledger_label	structured_label	assistant_evidence_span	assistant_notes
hChYEyebNm1__r03	ICLR 2023 random80 v1	unresolved	unresolved	3	We thank the reviewer for their comments and we would like to address the concerns. **I’m assuming things like theta are also trained end-to-end in equation (8). If so, this should be stated more explicitly.** The reviewer is correct, the proposed framework is trained end-to-end in a meta learning fashion. We have clarified this in the updated version of the paper. **For the “context” variant for example, does the...	User-confirmed single-pass standard validation; User confirmed ICLR 2023 random80 resolved candidate labels in Codex chat on 2026-04-29. source=resolved-label candidate reviewed by user; not an independent two-annotator IAA pass. Resolution action: keep_weak_unresolved. Resolution reason: Weak unresolved draft has insufficient concrete fix evidence for promotion.	314.800	label=unresolved; bucket=minority_unresolved; disagreement=1; audit_score=106.600	minority_unresolved	106.600	996.000	unresolved	unresolved			partially_fixed			unresolved			"{""sampling"": ""random_stratified"", ""disagreement_models"": [""tfidf""], ""source"": ""iclr2023_limit80_complete_subpool""}"
ejR4E1jaH9k__r03	ICLR 2023 random80 v1	unresolved	unresolved	3	We thank the reviewer for the feedback and address all concerns below. First we would like to clarify a crucial difference between weak MVI and MVI, since we believe there might be a misunderstanding. In the unconstrained case the conditions relates as follows: - $\langle {Fz-Fz', z-z'} \rangle \geq 0$ (monotone) - $\langle {Fz, z-z^\star} \rangle \geq 0$ (MVI) This relaxes the monotone condition by only requiring...	User-confirmed single-pass standard validation; User confirmed ICLR 2023 random80 resolved candidate labels in Codex chat on 2026-04-29. source=resolved-label candidate reviewed by user; not an independent two-annotator IAA pass. Resolution action: keep_weak_unresolved. Resolution reason: Weak unresolved draft has insufficient concrete fix evidence for promotion.	313.600	label=unresolved; bucket=minority_unresolved; disagreement=1; audit_score=106.200	minority_unresolved	106.200	992.000	unresolved	unresolved			partially_fixed			unresolved			"{""sampling"": ""random_stratified"", ""disagreement_models"": [""tfidf""], ""source"": ""iclr2023_limit80_complete_subpool""}"
1FsdIfRngtw__r01	ICLR 2023 random80 v1	unresolved	unresolved	3	We thank the reviewer for the valuable comments. Please find our response below: ## Remove the class token and compare their performance on the downstream tasks. We thank the reviewer for the comments about the similar results of various handcrafted prompts. We agree with this analysis. We compare various handcrafted prompts for zero-shot setting, where the {CLASS} token is the only information to distinguish...	User-confirmed single-pass standard validation; User confirmed ICLR 2023 random80 resolved candidate labels in Codex chat on 2026-04-29. source=resolved-label candidate reviewed by user; not an independent two-annotator IAA pass. Resolution action: keep_weak_unresolved. Resolution reason: Weak unresolved draft has insufficient concrete fix evidence for promotion.	312.700	label=unresolved; bucket=minority_unresolved; disagreement=1; audit_score=105.900	minority_unresolved	105.900	989.000	unresolved	unresolved			partially_fixed			unresolved			"{""sampling"": ""random_stratified"", ""disagreement_models"": [""tfidf""], ""source"": ""iclr2023_limit80_complete_subpool""}"
mhnHqRqcjYU__r03	ICLR 2023 random80 v1	unresolved	unresolved	3	Dear Reviewer gfw2, We thank you for your valuable feedback and that you find strength in our problem statement and methodology. We agree that this is an under-considered problem. We respond to your comments below. 1. **The proposed BGSC algorithm seems quite computationally expensive. While there is an analysis of the time complexity, it would be nice to also report the practical time taken to run the algorithm in...	User-confirmed single-pass standard validation; User confirmed ICLR 2023 random80 resolved candidate labels in Codex chat on 2026-04-29. source=resolved-label candidate reviewed by user; not an independent two-annotator IAA pass. Resolution action: keep_weak_unresolved. Resolution reason: Weak unresolved draft has insufficient concrete fix evidence for promotion.	311.500	label=unresolved; bucket=minority_unresolved; disagreement=1; audit_score=105.500	minority_unresolved	105.500	985.000	unresolved	unresolved			partially_fixed			unresolved			"{""sampling"": ""random_stratified"", ""disagreement_models"": [""tfidf""], ""source"": ""iclr2023_limit80_complete_subpool""}"
HqVp0rNC8jn__r01	ICLR 2023 random80 v1	unresolved	unresolved	3	We wish to thank the reviewer for the comments and the constructive criticism. We would like to comment on some of the points raised in the review. **It is unclear how the method generalizes to states without a shared geometric grounding between them, such as object properties.** Our work addresses the problem of extracting only the geometric position of the agent and the object. The applications we have in mind are...	User-confirmed single-pass standard validation; User confirmed ICLR 2023 random80 resolved candidate labels in Codex chat on 2026-04-29. source=resolved-label candidate reviewed by user; not an independent two-annotator IAA pass. Resolution action: keep_weak_unresolved. Resolution reason: Weak unresolved draft has insufficient concrete fix evidence for promotion.	311.200	label=unresolved; bucket=minority_unresolved; disagreement=1; audit_score=105.400	minority_unresolved	105.400	984.000	unresolved	unresolved			partially_fixed			unresolved			"{""sampling"": ""random_stratified"", ""disagreement_models"": [""tfidf""], ""source"": ""iclr2023_limit80_complete_subpool""}"
m3DmIL7wHDW__r04	ICLR 2023 random80 v1	unresolved	unresolved	3	Thank you for your review. **Comparison with AlphaZero**: We are well aware of the AlphaZero paper (Silver et al. 2017), and although we share some common principles with this algorithm, our approach is still based on significant differences that we tried to explain in Section 2: - First, AlphaZero is a model-free approach and relies on many system access steps (typically millions vs thousands in MBRL). It is...	User-confirmed single-pass standard validation; User confirmed ICLR 2023 random80 resolved candidate labels in Codex chat on 2026-04-29. source=resolved-label candidate reviewed by user; not an independent two-annotator IAA pass. Resolution action: keep_weak_unresolved. Resolution reason: Weak unresolved draft has insufficient concrete fix evidence for promotion.	309.100	label=unresolved; bucket=minority_unresolved; disagreement=1; audit_score=104.700	minority_unresolved	104.700	977.000	unresolved	unresolved			partially_fixed			unresolved			"{""sampling"": ""random_stratified"", ""disagreement_models"": [""tfidf""], ""source"": ""iclr2023_limit80_complete_subpool""}"
UPQualDj1oo__r02	ICLR 2023 random80 v1	unresolved	unresolved	3	8. [*I don’t see what it has to do with “being right for the right reasons.*] We do not think reasons can only be manifested by post-hoc model explanations, and we believe model explanations are not always good proxies of reasons. Intuitively, reasons used by an ML model are the features heavily relied on in their decision-making mechanisms. In our paper, we define reasons as a subset of important input features....	User-confirmed single-pass standard validation; User confirmed ICLR 2023 random80 resolved candidate labels in Codex chat on 2026-04-29. source=resolved-label candidate reviewed by user; not an independent two-annotator IAA pass. Resolution action: keep_weak_unresolved. Resolution reason: Weak unresolved draft has insufficient concrete fix evidence for promotion.	308.500	label=unresolved; bucket=minority_unresolved; disagreement=1; audit_score=104.500	minority_unresolved	104.500	975.000	unresolved	unresolved			partially_fixed			unresolved			"{""sampling"": ""random_stratified"", ""disagreement_models"": [""tfidf""], ""source"": ""iclr2023_limit80_complete_subpool""}"
ywAjQw-spmY__r02	ICLR 2023 random80 v1	unresolved	unresolved	3	We genuinely thank the reviewers for taking the time to review our submission and for their valuable suggestions on improving the paper's presentation. There are a few points, however, where we disagree with the assessment of our submission: 1) The datasets are unrepresentative of natural language: The datasets for regex and FOL are based on natural language snippets and standard datasets. Considering the...	User-confirmed single-pass standard validation; User confirmed ICLR 2023 random80 resolved candidate labels in Codex chat on 2026-04-29. source=resolved-label candidate reviewed by user; not an independent two-annotator IAA pass. Resolution action: keep_weak_unresolved. Resolution reason: Weak unresolved draft has insufficient concrete fix evidence for promotion.	308.200	label=unresolved; bucket=minority_unresolved; disagreement=1; audit_score=104.400	minority_unresolved	104.400	974.000	unresolved	unresolved			partially_fixed			unresolved			"{""sampling"": ""random_stratified"", ""disagreement_models"": [""tfidf""], ""source"": ""iclr2023_limit80_complete_subpool""}"
AqX3oSbzyQ1__r02	ICLR 2023 random80 v1	unresolved	unresolved	3	Thank you for the detailed review and insightful comments. **W1:** Soundness: while the idea of using Gaussian mixture models for clustering features is interesting, in practice the authors perform a very different operation according to algorithm 1. Even though it is claimed that the model performs expectation-maximization, from the algorithm it does not seem like it. Additionally, the slots are represented as...	User-confirmed single-pass standard validation; User confirmed ICLR 2023 random80 resolved candidate labels in Codex chat on 2026-04-29. source=resolved-label candidate reviewed by user; not an independent two-annotator IAA pass. Resolution action: keep_weak_unresolved. Resolution reason: Weak unresolved draft has insufficient concrete fix evidence for promotion.	306.100	label=unresolved; bucket=minority_unresolved; disagreement=1; audit_score=103.700	minority_unresolved	103.700	967.000	unresolved	unresolved			partially_fixed			unresolved			"{""sampling"": ""random_stratified"", ""disagreement_models"": [""tfidf""], ""source"": ""iclr2023_limit80_complete_subpool""}"
NOKUQ9JMohJ__r01	ICLR 2023 random80 v1	fixed	fixed	3	Thank you for your valuable comments, especially about the paper we do not discussed and the unseen states. We address your concerns accordingly and upload the rebuttal revision. Q1: The motivation for Assumption 1 R1: We agree that our assumption is much stronger than the weakly communicating assumption and the latter is more desirable. However, this problem is quite difficult, so we make assumption 1 for...	User-confirmed single-pass standard validation; User confirmed ICLR 2023 random80 resolved candidate labels in Codex chat on 2026-04-29. source=resolved-label candidate reviewed by user; not an independent two-annotator IAA pass. Resolution action: keep. Resolution reason: Draft label has sufficient support for review-stage use.	305.700	label=fixed; bucket=label_stratum; disagreement=0; audit_score=100.900	label_stratum	100.900	999.000	fixed	fixed			fixed			fixed			"{""sampling"": ""random_stratified"", ""disagreement_models"": [], ""source"": ""iclr2023_limit80_complete_subpool""}"
QN_VgTeOYGl__r02	ICLR 2023 random80 v1	fixed	fixed	3	Thank you for your time spent reviewing our paper and providing helpful feedback. Further, thank you for acknowledging our contribution of identifying the unique aspects of data leakage on tabular data; which we believe is an important feat for any inaugural work in a new setting. We also highly appreciate your acknowledgement of the good and easy-to-follow writing style, correctness, and the reproducibility of the...	User-confirmed single-pass standard validation; User confirmed ICLR 2023 random80 resolved candidate labels in Codex chat on 2026-04-29. source=resolved-label candidate reviewed by user; not an independent two-annotator IAA pass. Resolution action: keep. Resolution reason: Draft label has sufficient support for review-stage use.	305.400	label=fixed; bucket=label_stratum; disagreement=0; audit_score=100.800	label_stratum	100.800	998.000	fixed	fixed			fixed			fixed			"{""sampling"": ""random_stratified"", ""disagreement_models"": [], ""source"": ""iclr2023_limit80_complete_subpool""}"
8foynpwwRb__r02	ICLR 2023 random80 v1	unresolved	unresolved	3	`Q: The novelty of this paper is my only concern. The idea of applying SAM to a subset of parameters or iterations has been explored in several papers [Mi et al. 2022, Liu et al. 2022, Du et al. 2022]. For example, Liu et al. 2022 propose to only periodically calculate the inner gradient ascent across the training iterations; Liu et al. 2022 and Du et al. 2022 propose to select a subset of parameters to calculate...	User-confirmed single-pass standard validation; User confirmed ICLR 2023 random80 resolved candidate labels in Codex chat on 2026-04-29. source=resolved-label candidate reviewed by user; not an independent two-annotator IAA pass. Resolution action: keep_weak_unresolved. Resolution reason: Weak unresolved draft has insufficient concrete fix evidence for promotion.	304.900	label=unresolved; bucket=minority_unresolved; disagreement=1; audit_score=103.300	minority_unresolved	103.300	963.000	unresolved	unresolved			partially_fixed			unresolved			"{""sampling"": ""random_stratified"", ""disagreement_models"": [""tfidf""], ""source"": ""iclr2023_limit80_complete_subpool""}"
m3DmIL7wHDW__r03	ICLR 2023 random80 v1	unresolved	unresolved	3	Thank you for your review. **It is hard to see how performance on cartpole and acrobot relate at all to the motivating example of a telecommunications engineer; cartpole and acrobot do not seem to reflect the considerations listed in section 1**: We use Acrobot and Cartpole to show the performance of our method on well-known open sourced benchmarks on which we can compare to previous state-of-the-art results. The...	User-confirmed single-pass standard validation; User confirmed ICLR 2023 random80 resolved candidate labels in Codex chat on 2026-04-29. source=resolved-label candidate reviewed by user; not an independent two-annotator IAA pass. Resolution action: keep_weak_unresolved. Resolution reason: Weak unresolved draft has insufficient concrete fix evidence for promotion.	303.700	label=unresolved; bucket=minority_unresolved; disagreement=1; audit_score=102.900	minority_unresolved	102.900	959.000	unresolved	unresolved			partially_fixed			unresolved			"{""sampling"": ""random_stratified"", ""disagreement_models"": [""tfidf""], ""source"": ""iclr2023_limit80_complete_subpool""}"
o3Q4m8jg4BR__r03	ICLR 2023 random80 v1	fixed	fixed	3	We thank the reviewer for his very precise feedback and for correcting many details helping us to improve the overall quality of our work. We take particular care to address every point raised by the reviewer. We hope that this helps clarify our contribution, improving the readability of our work. In the following, we respond to every point raised by the reviewer. To address the concerns of the reviewer we will...	User-confirmed single-pass standard validation; User confirmed ICLR 2023 random80 resolved candidate labels in Codex chat on 2026-04-29. source=resolved-label candidate reviewed by user; not an independent two-annotator IAA pass. Resolution action: keep. Resolution reason: Draft label has sufficient support for review-stage use.	303.000	label=fixed; bucket=label_stratum; disagreement=0; audit_score=100.000	label_stratum	100.000	990.000	fixed	fixed			fixed			fixed			"{""sampling"": ""random_stratified"", ""disagreement_models"": [], ""source"": ""iclr2023_limit80_complete_subpool""}"
yqe0BZeN_xH__r03	ICLR 2023 random80 v1	unresolved	unresolved	3	Q1:. It seems that the paper claims its novelty as using Swin Transformer, however, Swin Transformer has been widely used in CV community, and simply adopting it as the backbone is not novel. A1: Actually, it is not easy to use the swin transformer to ZS3. There are at least three questions to get good reasonable and good results. (1) For the pixel-text feature aligning work, what the network should be modified? For...	User-confirmed single-pass standard validation; User confirmed ICLR 2023 random80 resolved candidate labels in Codex chat on 2026-04-29. source=resolved-label candidate reviewed by user; not an independent two-annotator IAA pass. Resolution action: keep_weak_unresolved. Resolution reason: Weak unresolved draft has insufficient concrete fix evidence for promotion.	302.200	label=unresolved; bucket=minority_unresolved; disagreement=1; audit_score=102.400	minority_unresolved	102.400	954.000	unresolved	unresolved			partially_fixed			unresolved			"{""sampling"": ""random_stratified"", ""disagreement_models"": [""tfidf""], ""source"": ""iclr2023_limit80_complete_subpool""}"
yqe0BZeN_xH__r02	ICLR 2023 random80 v1	unresolved	unresolved	3	Q1: The structure of Language Encoder. A1: The Language Encoder which we use in paper is just an MLP layer. We have add this explanation on our paper. Thanks for your advice! Q2: There are many problems with the layout and writing of the article. For example, there is incorrect capitalization in the first line of section 3.1 and missing spaces in line 4. There is confusion about the case of symbols in section 3.4....	User-confirmed single-pass standard validation; User confirmed ICLR 2023 random80 resolved candidate labels in Codex chat on 2026-04-29. source=resolved-label candidate reviewed by user; not an independent two-annotator IAA pass. Resolution action: keep_weak_unresolved. Resolution reason: Weak unresolved draft has insufficient concrete fix evidence for promotion.	301.900	label=unresolved; bucket=minority_unresolved; disagreement=1; audit_score=102.300	minority_unresolved	102.300	953.000	unresolved	unresolved			partially_fixed			unresolved			"{""sampling"": ""random_stratified"", ""disagreement_models"": [""tfidf""], ""source"": ""iclr2023_limit80_complete_subpool""}"
6iEoTr-jeB7__r03	ICLR 2023 random80 v1	unresolved	unresolved	3	We thank the reviewer for providing valuable feedback to improve the work. We will address concerns and questions from the reviewer, and answer them individually. 1. Discuss the limitation on continuous normalizing flows and the roadmap for scaling up to high-dimensional datasets like ImageNet or FFHQ: As the reviewer pointed out, CNF faces some difficulties in general to scale up for high-dimensional data due to...	User-confirmed single-pass standard validation; User confirmed ICLR 2023 random80 resolved candidate labels in Codex chat on 2026-04-29. source=resolved-label candidate reviewed by user; not an independent two-annotator IAA pass. Resolution action: keep_weak_unresolved. Resolution reason: Weak unresolved draft has insufficient concrete fix evidence for promotion.	301.600	label=unresolved; bucket=minority_unresolved; disagreement=1; audit_score=102.200	minority_unresolved	102.200	952.000	unresolved	unresolved			partially_fixed			unresolved			"{""sampling"": ""random_stratified"", ""disagreement_models"": [""tfidf""], ""source"": ""iclr2023_limit80_complete_subpool""}"
